espn_id,name,team,position,points,bye,pass_yds,pass_tds,rec,rec_yds,rec_tds,rush_yds,rush_tds
2560968,Saquon Barkley,NYG,RB,365,11,NA,NA,83,680,4,1275,10
2558019,Alvin Kamara,NO,RB,341,9,NA,NA,85,759,4,920,10
2557997,Christian McCaffrey,CAR,RB,341,7,NA,NA,93,790,5,997,7
2555224,Ezekiel Elliott,DAL,RB,320,8,NA,NA,66,506,2,1322,9
2495454,Julio Jones,ATL,WR,314,9,NA,NA,106,1562,9,10,0
2540175,LeVeon Bell,NYJ,RB,281,4,NA,NA,60,510,2,1095,8
2540165,DeAndre Hopkins,HOU,WR,311,10,NA,NA,103,1450,10,1,0
2543495,Davante Adams,GB,WR,310,11,NA,NA,105,1348,11,0,0
2557978,James Conner,PIT,RB,276,7,NA,NA,53,428,2,1095,10
2540258,Travis Kelce,KC,TE,275,12,NA,NA,96,1230,9,1,0
2553435,David Johnson,ARI,RB,274,12,NA,NA,57,512,3,1027,7
2558149,JuJu Smith-Schuster,PIT,WR,300,7,NA,NA,102,1383,9,9,0
2556370,Michael Thomas,NO,WR,299,9,NA,NA,114,1341,8,0,0
2557991,Dalvin Cook,MIN,RB,266,12,NA,NA,58,442,2,1090,7
2552475,Todd Gurley,LAR,RB,262,9,NA,NA,45,414,2,1013,10
2552469,Melvin Gordon,LAC,RB,259,12,NA,NA,48,429,3,969,9
2543496,Odell Beckham,CLE,WR,282,7,NA,NA,91,1303,10,26,0
2557976,Joe Mixon,CIN,RB,252,9,NA,NA,45,336,1,1150,8
2550512,Damien Williams,KC,RB,250,12,NA,NA,53,404,4,880,8
2557973,Leonard Fournette,JAC,RB,247,10,NA,NA,48,389,1,1005,8
2543468,Mike Evans,TB,WR,273,7,NA,NA,86,1383,8,0,0
2540158,Zach Ertz,PHI,TE,240,10,NA,NA,94,982,8,0,0
2556214,Tyreek Hill,KC,WR,269,12,NA,NA,77,1251,8,103,1
2561021,Nick Chubb,CLE,RB,238,7,NA,NA,32,240,1,1166,9
2508061,Antonio Brown,OAK,WR,268,6,NA,NA,95,1192,9,5,0
2560765,Kerryon Johnson,DET,RB,236,5,NA,NA,50,379,2,991,6
2540154,Keenan Allen,LAC,WR,266,12,NA,NA,96,1242,6,32,0
2558116,Aaron Jones,GB,RB,235,11,NA,NA,41,321,1,999,9
2558266,George Kittle,SF,TE,230,4,NA,NA,80,1106,6,2,0
2541785,Adam Thielen,MIN,WR,260,12,NA,NA,92,1211,7,28,0
2558125,Patrick Mahomes,KC,QB,389,12,4807.209309,12.93305986,NA,NA,NA,247,2
2543583,Devonta Freeman,ATL,RB,224,9,NA,NA,44,356,2,911,7
2552608,Stefon Diggs,MIN,WR,248,12,NA,NA,92,1033,8,44,0
2558123,Marlon Mack,IND,RB,218,6,NA,NA,27,195,1,1096,9
2532865,T.Y. Hilton,IND,WR,247,6,NA,NA,80,1287,6,0,0
2559947,Phillip Lindsay,DEN,RB,217,10,NA,NA,40,294,1,974,7
238498,Julian Edelman,NE,WR,246,10,NA,NA,91,1101,6,64,0
2556075,Derrick Henry,TEN,RB,214,11,NA,NA,19,140,0,1160,10
2555230,Kenyan Drake,MIA,RB,212,5,NA,NA,53,442,3,691,5
2543773,James White,NE,RB,211,10,NA,NA,74,645,4,316,3
2552487,Amari Cooper,DAL,WR,240,8,NA,NA,81,1096,8,15,0
2540169,Robert Woods,LAR,WR,239,9,NA,NA,82,1109,5,98,1
2562377,Josh Jacobs,OAK,RB,204,6,NA,NA,37,294,1,914,6
2543498,Brandin Cooks,LAR,WR,233,9,NA,NA,76,1143,6,59,0
2558865,Chris Carson,SEA,RB,201,11,NA,NA,25,205,1,1048,8
2495466,Mark Ingram,BAL,RB,201,8,NA,NA,30,216,1,989,7
2558250,Tarik Cohen,CHI,RB,196,6,NA,NA,63,596,3,385,3
2558063,Deshaun Watson,HOU,QB,355,10,4043.359774,11.79466304,NA,NA,NA,553,4
100005,Bears,CHI,D,133,6,NA,NA,NA,NA,NA,NA,NA
2560809,Sony Michel,NE,RB,190,10,NA,NA,12,93,1,1079,10
2558052,Kenny Golladay,DET,WR,220,5,NA,NA,73,1077,6,8,0
2557858,Evan Engram,NYG,TE,185,11,NA,NA,66,821,5,17,0
2555466,Tyler Boyd,CIN,WR,215,9,NA,NA,77,1004,6,6,0
2562502,David Montgomery,CHI,RB,184,6,NA,NA,30,250,1,835,6
2558105,Chris Godwin,TB,WR,214,7,NA,NA,73,1013,6,3,0
2533034,Lamar Miller,HOU,RB,182,10,NA,NA,33,240,1,880,5
2557898,Cooper Kupp,LAR,WR,211,9,NA,NA,72,941,7,24,0
2552430,Tyler Lockett,SEA,WR,211,11,NA,NA,61,999,7,58,0
2557856,O.J. Howard,TB,TE,179,7,NA,NA,57,812,7,0,0
2533031,Andrew Luck,IND,QB,339,6,4432.161331,14.27527836,NA,NA,NA,213,1
2495450,A.J. Green,CIN,WR,207,9,NA,NA,66,973,7,1,0
2543488,Jarvis Landry,CLE,WR,207,7,NA,NA,77,933,5,33,0
100002,Ravens,BAL,D,116,8,NA,NA,NA,NA,NA,NA,NA
2534797,Greg Zuerlein,LAR,K,140,9,NA,NA,NA,NA,NA,NA,NA
100021,Patriots,NE,D,117,10,NA,NA,NA,NA,NA,NA,NA
2533039,Alshon Jeffery,PHI,WR,206,10,NA,NA,69,939,7,1,0
2506363,Aaron Rodgers,GB,QB,337,11,4329.909565,7.20248221,NA,NA,NA,275,2
71265,Jared Cook,NO,TE,174,9,NA,NA,61,776,6,0,0
2560854,Calvin Ridley,ATL,WR,204,9,NA,NA,66,871,8,24,0
2495455,Cam Newton,CAR,QB,335,7,3738.477597,14.8056216,NA,NA,NA,554,5
2558846,Mike Williams,LAC,WR,203,12,NA,NA,60,884,8,23,0
2560813,D.J. Moore,CAR,WR,202,7,NA,NA,67,919,5,117,0
2556462,Robby Anderson,NYJ,WR,201,4,NA,NA,61,936,7,9,0
2555341,Hunter Henry,LAC,TE,168,12,NA,NA,58,735,6,0,0
2536340,Justin Tucker,BAL,K,131,8,NA,NA,NA,NA,NA,NA,NA
2558245,Harrison Butker,KC,K,130,12,NA,NA,NA,NA,NA,NA,NA
2506922,Stephen Gostkowski,NE,K,129,10,NA,NA,NA,NA,NA,NA,NA
2552453,Tevin Coleman,SF,RB,166,4,NA,NA,29,235,2,756,5
310,Matt Ryan,ATL,QB,328,9,4596.122465,9.548179154,NA,NA,NA,120,1
2561000,Derrius Guice,WAS,RB,166,10,NA,NA,29,224,1,747,6
2560800,Baker Mayfield,CLE,QB,328,7,4348.010791,15.27771034,NA,NA,NA,195,1
2543509,Allen Robinson,CHI,WR,194,6,NA,NA,67,933,5,8,0
2556601,Wil Lutz,NO,K,126,9,NA,NA,NA,NA,NA,NA,NA
